name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Car Nono Plastic Plating Refurbishing Refreshing, Car Fresh Shine Interior Plastic, Dashboard Cleaner, Plastic Refreshing ...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/611J+ySZ3OL._AC_UL320_.jpg,https://www.amazon.in/Refurbishing-Refreshing-Interior-Dashboard-Exterior/dp/B0B7SBXZ3G/ref=sr_1_865?qid=1679222429&s=automotive&sr=1-865,4.0,2,₹485,"₹1,399"
DirtBurn 5 Pcs Car Cleaning Brush Kit Different Size Detailing 5 Different Sizes Plastic Handle Car Cleaning Accessories B...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/41EC9xWYOLL._AC_UL320_.jpg,https://www.amazon.in/DirtBurn-Cleaning-Different-Detailing-Accessories/dp/B0B2DP4DVH/ref=sr_1_866_mod_primary_new?qid=1679222429&s=automotive&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-866,4.1,34,₹275,₹899
"THE HONEST HOME COMPANY | 340 GSM Microfiber Cleaning Cloth XL Size | 3 Pieces 40*40 cm | Kitchen Cleaning, Car Cleaning, ...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71D+irXlZaL._AC_UL320_.jpg,https://www.amazon.in/Company-Microfiber-Cleaning-Kitchen-Surface/dp/B096MWZMQL/ref=sr_1_867?qid=1679222429&s=automotive&sr=1-867,4.3,156,₹225,₹399
Sprayer - Plastic Trigger High Pressure Water Spray Gun for Car/Bike/Home Washing Gun for Car/Bike/Home Washing Gun(Green),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/719v21RvvBL._AC_UL320_.jpg,https://www.amazon.in/Plastic-Sprayer-Pressure-Trigger-Gardening/dp/B092527WFM/ref=sr_1_868?qid=1679222429&s=automotive&sr=1-868,2.8,126,₹169,₹999
"WAVEX Premium Car Dashboard, Leather and Interior Detailing Brush | Long Bristle Natural Horse Hair Beach Wood Cleaning An...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/719kA6+XdNL._AC_UL320_.jpg,https://www.amazon.in/Dashboard-Interior-Detailing-Cleaning-Upholstery/dp/B095315Z6W/ref=sr_1_869?qid=1679222429&s=automotive&sr=1-869,3.6,237,₹396,₹490
OUHOE CAR/AUTO Plastic Parts Refurbishment Repair Cleaning Dashboard Automotive Plastic Refurbishment KIT.,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51s8qaFVjiL._AC_UL320_.jpg,https://www.amazon.in/Plastic-Refurbishment-Cleaning-Dashboard-Automotive/dp/B0B73TDL6F/ref=sr_1_870?qid=1679222429&s=automotive&sr=1-870,,,₹425,"₹1,200"
"SOFTSPUN Microfiber Cleaning Cloth (5 pcs, 40x40cm) 340 GSM, White, Thick, Lint & Streak-Free Super Absorbent Multi-Purpos...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71aOU9msoFL._AC_UL320_.jpg,https://www.amazon.in/SOFTSPUN-Microfiber-Cloth-Streak-Free-Multipurpose/dp/B09BQNWZ3S/ref=sr_1_871?qid=1679222429&s=automotive&sr=1-871,4.2,36,₹320,₹755
Aimex Quick Connector Adapter Fittings for Pressure Washer and Hose Pipe M22 x 15 (1 Male & 1 Female),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51u7PvkvpQL._AC_UL320_.jpg,https://www.amazon.in/Aimex-Connector-Fittings-Washer-Pipe/dp/B09VC9919M/ref=sr_1_872?qid=1679222429&s=automotive&sr=1-872,4.3,46,₹549,₹599
"BLACK+DECKER BW15-IN 1500Watt 120 Bar, 390 L/hr Flow Rate Pressure Washer for Car wash and Home use (Red & Black)",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71TbohWTdOL._AC_UL320_.jpg,https://www.amazon.in/BLACK-DECKER-1500Watt-Pressure-Washer/dp/B08LDSQXSL/ref=sr_1_873?qid=1679222429&s=automotive&sr=1-873,4.0,515,"₹8,423","₹17,160"
JPT UNDERBODY/UNDERCARRIAGE CAR CHASIS Washer Lance ATTACHMENTS (UNDERBODY Lance with Extension RODS),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/41Rwj57oO3L._AC_UL320_.jpg,https://www.amazon.in/JPT-UNDERBODY-UNDERCARRIAGE-ATTACHMENTS-Extension/dp/B08P574JQD/ref=sr_1_874?qid=1679222429&s=automotive&sr=1-874,3.6,21,"₹2,698","₹9,499"
"AGARO EXTEREME Car Vacuum Cleaner, 5 kPa Suction, Dry Use (Black)",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71q5QVAKkrL._AC_UL320_.jpg,https://www.amazon.in/AGARO-EXTEREME-Vacuum-Cleaner-Suction/dp/B0841ZXNNM/ref=sr_1_875?qid=1679222429&s=automotive&sr=1-875,3.4,196,"₹1,696","₹1,999"
Woschmann-Car Air Outlet Vent Internal Cleaner Keyboard Dust Cleaning Brush,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/41CeU8cN9WL._AC_UL320_.jpg,https://www.amazon.in/Woschmann-Car-Internal-Cleaner-Keyboard-Cleaning/dp/B0B4W47DY2/ref=sr_1_876?qid=1679222429&s=automotive&sr=1-876,3.5,9,₹110,₹299
"MEENAMART.COM Water Sprayer with High Pressure for Car Motorbike and Any Vehicle Cleaning Grading Washing, 8 in 1 Car Wash...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/41ttodzw-bL._AC_UL320_.jpg,https://www.amazon.in/Car-Pressure-Washer-Nozzle-Gun/dp/B07XV6VGLQ/ref=sr_1_877?qid=1679222429&s=automotive&sr=1-877,3.3,82,₹249,₹499
"Spendiff Multipurpose Microfiber Cloth for Car Cleaning, Polishing, Glass & Detailing Towel 40cm x 40cm Wet and Dry Cotto...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61FyVLIn2ZL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-Microfiber-Polishing-Detailing-Microfibre/dp/B08SLCG6FV/ref=sr_1_878?qid=1679222429&s=automotive&sr=1-878,3.5,78,₹299,"₹1,299"
GENERIC Navratri MATA ka shringar kit/Suhag Kit/ - Devi Solah Shringar Kit with 21 Shringars(Items) - 21 Items Box Packin...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71KXHU2qibL._AC_UL320_.jpg,https://www.amazon.in/GENERIC-Navratri-MATA-shringar-Suhag/dp/B08KWCJJ9N/ref=sr_1_879?qid=1679222429&s=automotive&sr=1-879,3.6,10,₹208.60,₹999
Tank Rescue Fuel Tank Rust Remover,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61woUXWmunL._AC_UL320_.jpg,https://www.amazon.in/Tank-Rescue-Fuel-Rust-Remover/dp/B07NNG7X3F/ref=sr_1_880?qid=1679222429&s=automotive&sr=1-880,4.2,116,₹899,"₹1,550"
"JPT Water Pressure Washer Filter suitable for JPT, Bosch StarQ, ResQtech (Pack of 3)",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/41TAr8h+NWS._AC_UL320_.jpg,https://www.amazon.in/JPT-Pressure-Accessory-suitable-ResQtech/dp/B083DY9T4X/ref=sr_1_881?qid=1679222429&s=automotive&sr=1-881,4.1,224,₹398,"₹1,249"
Tradhivilla 12V DC Electric Car Washer Pump Portable High Pressure Car Washer Machine Car Washing Accessories Spray Gun Wa...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/410m8YmVuSS._AC_UL320_.jpg,https://www.amazon.in/Tradhivilla-Portable-Electric-Pressure-Automatic/dp/B098183J1B/ref=sr_1_882?qid=1679222429&s=automotive&sr=1-882,3.4,25,"₹2,449","₹9,999"
"Auto Hub Multipurpose Microfibre Double Sided Car AC Vent Cleaning Brush, Blinds, Keyboard - Pack of Two",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51CNz01ZxwL._AC_UL320_.jpg,https://www.amazon.in/Auto-Hub-Multipurpose-Microfibre-Vent/dp/B07PYX8ZY2/ref=sr_1_883?qid=1679222429&s=automotive&sr=1-883,3.7,126,₹225,₹599
Formula 1 613762 Carnauba Paste Wax (340 g),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61Fkl7QRbEL._AC_UL320_.jpg,https://www.amazon.in/Formula-613762-Carnauba-Paste-Wax/dp/B0060HVCHW/ref=sr_1_884_mod_primary_new?qid=1679222429&s=automotive&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-884,4.3,"3,218",₹695,₹795
DIVINE Car Windshield Glass Concentrated Washer Tablets Solid Car Effervescent Tablets Glass Solid Wiper Cleaning Tablets ...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/613BtOsABwL._AC_UL320_.jpg,https://www.amazon.in/Windshield-Concentrated-Tablets-Effervescent-Cleaning/dp/B0B5Y8LXMX/ref=sr_1_885?qid=1679222429&s=automotive&sr=1-885,5.0,13,₹249,₹599
Turtle Wax Hybrid Solutions Leather Mist Cleaner & Conditioner Interior Spray 591ML,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71WK1UTR6VL._AC_UL320_.jpg,https://www.amazon.in/Turtle-Wax-Solutions-Conditioner-Interior/dp/B08TQZRB9R/ref=sr_1_886?qid=1679222429&s=automotive&sr=1-886,4.1,70,"₹1,277","₹1,499"
"Hotegxa Super Soft Microfiber Car Duster Exterior with Extendable Handle, Car Brush Duster for Car Cleaning Dusting - Grey",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61br4gtuaOS._AC_UL320_.jpg,https://www.amazon.in/Hotegxa-Microfiber-Exterior-Extendable-Cleaning/dp/B0BBMP94JR/ref=sr_1_887?qid=1679222429&s=automotive&sr=1-887,3.9,185,₹369,₹699
"TEXUM 250 ml Foam Dispenser, Suitable for Texum high Pressure Washer Models. (White Colour)",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/21MacYyNyfL._AC_UL320_.jpg,https://www.amazon.in/TEXUM-Dispenser-Suitable-Pressure-Models/dp/B0BQJCBXT6/ref=sr_1_888?qid=1679222429&s=automotive&sr=1-888,5.0,3,₹237,₹500
"Adadfox Car wash Shampoo 5 liter Car Shampoo foam wash Concentrate pH Neutral, Extreme Suds Snow White Foam, Highly Effect...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51SrwH9y33L._AC_UL320_.jpg,https://www.amazon.in/high-Foam-car-wash-Shampoo/dp/B09DGJ1RR3/ref=sr_1_889?qid=1679222430&s=automotive&sr=1-889,3.2,6,₹699,"₹1,850"
ZURU BUNCH ® Foaming Car Interior Cleaner Multipurpose Foam Cleaner Spray | Car Seat/Exterior & Interior/Shoes/Sofa Cleani...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/31zyHaBznXL._AC_UL320_.jpg,https://www.amazon.in/Foaming-Interior-Multipurpose-Exterior-Cleaning/dp/B09QGH22RG/ref=sr_1_890?qid=1679222430&s=automotive&sr=1-890,3.2,46,₹289,₹999
Mecano Smart1400 Universal Motor 1400 W 110bar 6.2L/Min Flow High Pressure Washer for Cars/Bikes & Home Cleaning Purpose (...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61d8EJ8bj8L._AC_UL320_.jpg,https://www.amazon.in/Mecano-Smart1900-Induction-1900-Pressure/dp/B07XBZH2PV/ref=sr_1_891?qid=1679222430&s=automotive&sr=1-891,4.1,296,"₹4,999","₹8,700"
Vista FGV1293 V Reshine Gloss (250 ml),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71xtXvvgHoL._AC_UL320_.jpg,https://www.amazon.in/Vista-FGV1293-Reshine-Gloss-250/dp/B00Z3LC2RU/ref=sr_1_892?qid=1679222430&s=automotive&sr=1-892,3.9,50,,₹210
"Urban Horizon Multi-Purpose Chain Cleaning Brush/Washer/Tool for Royal Enfield Motorcycle Bicycle, Bikes, Bullets, KTM, Cl...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/516zOH6rpbL._AC_UL320_.jpg,https://www.amazon.in/Urban-Horizon-Multi-Purpose-Motorcycle-Avengers/dp/B09FDWQ1YG/ref=sr_1_893?qid=1679222430&s=automotive&sr=1-893,4.2,15,₹129,₹300
"DGK HTP Pump 30L and 50L Repair kit (Service kit) (6 pies of Valve Seal ,9 pies of Piston Glen Washer,6 pies of Complete S...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71GtlICt7pL._AC_UL320_.jpg,https://www.amazon.in/DGK-Repair-Service-Complete-Assembly/dp/B0B1NYKSCK/ref=sr_1_894?qid=1679222430&s=automotive&sr=1-894,3.6,5,₹499,₹700
"Vidhaham Cup Washer Bar Glass Rinser Kitchen Sink Attachment Faucet Cup Rinser for Home, Office, Hotel, Shop, Bar, Baby Bo...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51CiBtyIxUL._AC_UL320_.jpg,https://www.amazon.in/Vidhaham-Washer-Kitchen-Attachment-Automatic/dp/B0BXGW774Y/ref=sr_1_895?qid=1679222430&s=automotive&sr=1-895,,,₹499,"₹1,499"
Auto Bros All Purpose Extraction Cleaner 500 ml,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61fqe3fcpPL._AC_UL320_.jpg,https://www.amazon.in/Auto-Bros-Purpose-Extraction-Cleaner/dp/B08W55CRWR/ref=sr_1_896?qid=1679222430&s=automotive&sr=1-896,3.8,10,₹350,₹375
Bucket/Handy Washing Machine for Clothes,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/41EPVjmI3QL._AC_UL320_.jpg,https://www.amazon.in/Bucket-Handy-Washing-Machine-Clothes/dp/B0B8MXWQVF/ref=sr_1_897?qid=1679222430&s=automotive&sr=1-897,3.4,8,"₹2,050","₹6,500"
JPT Combo Heavy Duty Foam Lance for Bosch Pressure WASHERS,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71j6FGMzBKL._AC_UL320_.jpg,https://www.amazon.in/JPT-Heavy-Lance-Pressure-WASHERS/dp/B08VHD7F8B/ref=sr_1_898?qid=1679222430&s=automotive&sr=1-898,4.0,126,"₹2,498","₹6,589"
"ALOUD CREATIONS Microfiber Mini Car Cleaning Duster with Handle, Detailing Brush – Pack of 2",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/41oc+cbV1GL._AC_UL320_.jpg,https://www.amazon.in/ALOUD-CREATIONS-Microfiber-Cleaning-Detailing/dp/B09MPB3VJL/ref=sr_1_899?qid=1679222430&s=automotive&sr=1-899,3.4,170,₹265,₹998
Kangaroo® Chain Lubricant Spray 500ml + Brush,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71XDxaME1OL._AC_UL320_.jpg,https://www.amazon.in/KANGAROO-Chain-Lubricant-Spray-500ml/dp/B07CRKLG5M/ref=sr_1_900?qid=1679222430&s=automotive&sr=1-900,3.9,481,₹336,₹425
"EAYIRA Wash and Dry Multipurpose Cleaning Sponge, Car Washing Accessories,Car wash sponges,Sponge for car Cleaning Useful ...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71PYmn8I56L._AC_UL320_.jpg,https://www.amazon.in/EAYIRA-Multipurpose-Cleaning-Accessories-Motorcycle/dp/B07PRC3MTF/ref=sr_1_901?qid=1679222430&s=automotive&sr=1-901,3.8,299,₹210,₹999
MEGUIAR'S Gold Class Carnauba Plus Premium Paste Car Wax Creates a Deep Dazzling Shine,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81z8zlI5ehL._AC_UL320_.jpg,https://www.amazon.in/Meguiars-Carnauba-Premium-Creates-Dazzling/dp/B089ZBCZ4D/ref=sr_1_902?qid=1679222430&s=automotive&sr=1-902,4.3,164,"₹1,744","₹1,999"
OKS German Chain Lube and Chain Cleaner 500ml,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61euqhb19IL._AC_UL320_.jpg,https://www.amazon.in/OKS-German-Chain-Cleaner-500ml/dp/B08VD8TGMD/ref=sr_1_903?qid=1679222430&s=automotive&sr=1-903,3.5,22,₹763,"₹1,899"
Formula 1 625004 Super Mitt,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61RCY9fp96L._AC_UL320_.jpg,https://www.amazon.in/Formula-1-625004-Super-Mitt/dp/B00N3SCM8Y/ref=sr_1_904?qid=1679222430&s=automotive&sr=1-904,4.0,399,₹331,₹495
"MaaKali Super Soft Microfiber Car Duster Exterior with Extendable Handle, Car Brush Duster for Car Cleaning Dusting - Grey",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61d+xlyM2sL._AC_UL320_.jpg,https://www.amazon.in/Microfiber-Car-Exterior-Extendable-Cleaning/dp/B0BVLXYLNL/ref=sr_1_905?qid=1679222430&s=automotive&sr=1-905,,,₹385,₹999
Car Vacuum Powerful Portable & High Power 12V Car Handheld Vacuum Cleaner for Car and Home Wet and Dry Car Vacuum Cleaner ...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51NPiGWBnkL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-AYSIS-Black-Glass-MODEAL/dp/B0BN1RJ6CL/ref=sr_1_906?qid=1679222430&s=automotive&sr=1-906,1.4,6,"₹1,199","₹3,999"
NIRVA WITH DEVICE OF WOMEN PICTURE High Pressure Water Washer Spray Gun Hose Nozzle with Ergonomic handle design,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61SnGFTnFUL._AC_UL320_.jpg,https://www.amazon.in/NIRVA-High-Pressure-Water-Ergonomic/dp/B07MRF46H9/ref=sr_1_907?qid=1679222430&s=automotive&sr=1-907,4.0,55,₹719,"₹1,899"
Window Scrubber Squeegee with Spray Bottle Car Glass Mirror Cleaner Wiper Scraper Brush Clean Tools,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/512TXE8YYiL._AC_UL320_.jpg,https://www.amazon.in/Window-Scrubber-Squeegee-Cleaner-Scraper/dp/B09JM8QVXV/ref=sr_1_908?qid=1679222430&s=automotive&sr=1-908,2.7,27,₹220,₹599
